Table 1
,,,,,
Orbital,Occupation,Energy (Hartree),,,
0,1.0,-20.282424,,,
1,1.0,-20.233617,,,
2,1.0,-20.212365,,,
3,1.0,-20.191948,,,
4,1.0,-20.181222,,,
5,1.0,-15.379982,,,
6,1.0,-15.364177,,,
7,1.0,-15.336752,,,
8,1.0,-15.322648,,,
9,1.0,-11.178311,,,
10,1.0,-11.156151,,,
11,1.0,-11.130282,,,
12,1.0,-11.119611,,,
13,1.0,-11.113923,,,
14,1.0,-11.107775,,,
15,1.0,-11.104975,,,
16,1.0,-11.099954,,,
17,1.0,-11.081263,,,
18,1.0,-11.074901,,,
19,1.0,-11.072037,,,
20,1.0,-11.070093,,,
21,1.0,-11.069697,,,
22,1.0,-11.068469,,,
23,1.0,-11.058624,,,
24,1.0,-11.052248,,,
25,1.0,-11.050309,,,
26,1.0,-11.049379,,,
27,1.0,-11.048295,,,
28,1.0,-11.047084,,,
29,1.0,-11.044491,,,
30,1.0,-11.040704,,,
31,1.0,-11.039797,,,
32,1.0,-11.038032,,,
33,1.0,-11.037559,,,
34,1.0,-11.034542,,,
35,1.0,-11.033707,,,
36,1.0,-11.0283,,,
37,1.0,-11.026817,,,
38,1.0,-11.026641,,,
39,1.0,-11.026213,,,
40,1.0,-11.025268,,,
41,1.0,-1.343567,,,
42,1.0,-1.31176,,,
43,1.0,-1.306739,,,
44,1.0,-1.298162,,,
45,1.0,-1.28876,,,
46,1.0,-1.199529,,,
47,1.0,-1.181705,,,
48,1.0,-1.162328,,,
49,1.0,-1.142666,,,
50,1.0,-1.105425,,,
51,1.0,-1.096051,,,
52,1.0,-1.084579,,,
53,1.0,-1.065221,,,
54,1.0,-1.027618,,,
55,1.0,-1.016565,,,
56,1.0,-0.988911,,,
57,1.0,-0.988488,,,
58,1.0,-0.965943,,,
59,1.0,-0.95262,,,
60,1.0,-0.950869,,,
61,1.0,-0.93695,,,
62,1.0,-0.925011,,,
63,1.0,-0.913454,,,
64,1.0,-0.912924,,,
65,1.0,-0.861794,,,
66,1.0,-0.849856,,,
67,1.0,-0.842445,,,
68,1.0,-0.823097,,,
69,1.0,-0.789663,,,
70,1.0,-0.780233,,,
71,1.0,-0.773777,,,
72,1.0,-0.761969,,,
73,1.0,-0.758128,,,
74,1.0,-0.754739,,,
75,1.0,-0.729752,,,
76,1.0,-0.727632,,,
77,1.0,-0.724195,,,
78,1.0,-0.711735,,,
79,1.0,-0.677342,,,
80,1.0,-0.666479,,,
81,1.0,-0.665135,,,
82,1.0,-0.65736,,,
83,1.0,-0.650857,,,
84,1.0,-0.642462,,,
85,1.0,-0.634968,,,
86,1.0,-0.62649,,,
87,1.0,-0.609154,,,
88,1.0,-0.605978,,,
89,1.0,-0.60194,,,
90,1.0,-0.598676,,,
91,1.0,-0.595058,,,
92,1.0,-0.591159,,,
93,1.0,-0.587885,,,
94,1.0,-0.583514,,,
95,1.0,-0.581103,,,
96,1.0,-0.570863,,,
97,1.0,-0.564457,,,
98,1.0,-0.560268,,,
99,1.0,-0.557894,,,
100,1.0,-0.546889,,,
101,1.0,-0.545174,,,
102,1.0,-0.543987,,,
103,1.0,-0.536188,,,
104,1.0,-0.535764,,,
105,1.0,-0.531058,,,
106,1.0,-0.526748,,,
107,1.0,-0.522707,,,
108,1.0,-0.521028,,,
109,1.0,-0.514446,,,
110,1.0,-0.513033,,,
111,1.0,-0.508734,,,
112,1.0,-0.503535,,,
113,1.0,-0.499752,,,
114,1.0,-0.497178,,,
115,1.0,-0.488639,,,
116,1.0,-0.485358,,,
117,1.0,-0.482057,,,
118,1.0,-0.478495,,,
119,1.0,-0.47083,,,
120,1.0,-0.467425,,,
121,1.0,-0.461476,,,
122,1.0,-0.459417,,,
123,1.0,-0.455713,,,
124,1.0,-0.449878,,,
125,1.0,-0.445748,,,
126,1.0,-0.443568,,,
127,1.0,-0.441914,,,
128,1.0,-0.440725,,,
129,1.0,-0.438135,,,
130,1.0,-0.434939,,,
131,1.0,-0.432938,,,
132,1.0,-0.428541,,,
133,1.0,-0.42301,,,
134,1.0,-0.417393,,,
135,1.0,-0.41594,,,
136,1.0,-0.406419,,,
137,1.0,-0.39601,,,
138,1.0,-0.348087,,,
139,1.0,-0.334388,,,
140,1.0,-0.318283,,,
141,1.0,-0.30753,,,
142,1.0,-0.29973,,,
143,1.0,-0.289312,,,
144,1.0,-0.278625,,,
145,1.0,-0.276701,,,
146,1.0,-0.273395,,,
147,1.0,-0.273081,,,
148,1.0,-0.270544,,,
149,1.0,-0.265984,,,
150,1.0,-0.255288,,,
151,1.0,-0.004897,,,
152,0.0,0.112785,,,
153,0.0,0.249638,,,
154,0.0,0.255548,,,
